Название продукта,Категория продукта,Подкатегория продукта,Цена продукта,Город,Ссылка на продукт,Статус
Креветки Королевские 26/30 очищенные 1 кг,МОРЕПРОДУКТЫ,,Новинка,Алматы,https://kingfisher.kz/moreprodukty/krevetki/krevetka-korolevskaya-2630-ochischennaya/,Новинка
Креветка Королевская 16/20 в панцире б/г 1 кг,МОРЕПРОДУКТЫ,,Новинка,Алматы,https://kingfisher.kz/moreprodukty/krevetki/krevetka-tigrovaya-1620-v-pancire/,Новинка
Креветка Королевская 31/40 очищенная 1 кг/уп,МОРЕПРОДУКТЫ,,Новинка,Алматы,https://kingfisher.kz/moreprodukty/krevetki/krevetka-korolevskaya-1620-ochischennaya/,Новинка
"Креветка Королевская 21/25, в панцире без головы",МОРЕПРОДУКТЫ,,7 600 Т,Алматы,https://kingfisher.kz/moreprodukty/krevetki/krevetka-korolevskaya-2125-v-pancire-bez-golovy/,Нет статуса
"Лангустины в панцире с головой, размер 21-30 уп 2 кг",МОРЕПРОДУКТЫ,,11 490 Т,Алматы,https://kingfisher.kz/moreprodukty/krevetki/langustiny-v-pancire-s-golovoy-razmery-21-30/,Акция
Креветка Королевская 41/50 бланшированная 1 кг,МОРЕПРОДУКТЫ,,7 800 Т,Алматы,https://kingfisher.kz/moreprodukty/krevetki/krevetka-korolevskaya-4150-blanshirovannaya/,Нет статуса
"Лангустины в Панцире с головой, размер 10-20 уп 2 кг",МОРЕПРОДУКТЫ,,Новинка,Алматы,https://kingfisher.kz/moreprodukty/krevetki/langustiny-v-pancire-s-golovoy-razmer-10-20/,Новинка
"Креветка Северная, 90/120, Гренландия",МОРЕПРОДУКТЫ,,9 200 Т,Алматы,https://kingfisher.kz/moreprodukty/krevetki/krevetka-severnaya-90-120-grenlandiya/,Нет статуса
Креветка Тигровая 13/15 с головой,МОРЕПРОДУКТЫ,,Новинка,Алматы,https://kingfisher.kz/moreprodukty/krevetki/krevetka-tigrovaya-13-15-s-golovoy/,Новинка
Креветка Королевская Premium 31/40 с/м очищ с хвостом 7% глазурь,МОРЕПРОДУКТЫ,,Новинка,Алматы,https://kingfisher.kz/moreprodukty/krevetki/krevetka-premium-3140-sm-ochishch-s-hvostom-7-glazur/,Новинка
Креветка Premium 16/20 с/м б/г 7% глазурь,МОРЕПРОДУКТЫ,,8 800 Т,Алматы,https://kingfisher.kz/moreprodukty/krevetki/krevetka-premium-1620-sm-bg-7-glazur/,Нет статуса
"Креветка салатная очищенная 100/200, глазурь 30%, 1 кг/уп",МОРЕПРОДУКТЫ,,5 990 Т,Алматы,https://kingfisher.kz/moreprodukty/krevetki/krevetka-blansh-ochisch-100200-po-10-kgkor/,Нет статуса
"Креветка Королевская Блочная, размер 16/20, 1,8 кг",МОРЕПРОДУКТЫ,,19 500 Т,Алматы,https://kingfisher.kz/moreprodukty/krevetki/krevetka-korolevskaya-blochnaya-razmer-16-20/,Нет статуса
Креветка Premium 21/25 с/м б/г 7% глазурь,МОРЕПРОДУКТЫ,,8 500 Т,Алматы,https://kingfisher.kz/moreprodukty/krevetki/krevetka-premium-2125-sm-bg-7-glazur/,Нет статуса
Креветка Королевская Premium 26/30 с/м очищ с хвостом 7% глазурь,МОРЕПРОДУКТЫ,,8 800 Т,Алматы,https://kingfisher.kz/moreprodukty/krevetki/krevetka-premium-2630-sm-ochishch-s-hvostom-7-glazur/,Нет статуса
Креветка Лангустины с/м без головы 30/55 уп 2 кг,МОРЕПРОДУКТЫ,,16 500 Т,Алматы,https://kingfisher.kz/moreprodukty/krevetki/langustiny-sm-sg-30-55-up-2-kg/,Нет статуса
"Креветка Королевская Блочная, в панцире 21/25, 1,8 кг",МОРЕПРОДУКТЫ,,Новинка,Алматы,https://kingfisher.kz/moreprodukty/krevetki/krevetka-korolevskaya-blochnaya-v-pancire-21-25/,Новинка
Креветка Premium 41/50 бланш очищ с хвостом 7% глазурь,МОРЕПРОДУКТЫ,,8 500 Т,Алматы,https://kingfisher.kz/moreprodukty/krevetki/krevetka-premium-4150-blansh-ochishch-s-hvostom-7-glazur/,Нет статуса
Креветка Premium 100/200 бланш очищ 7% глазурь,МОРЕПРОДУКТЫ,,6 900 Т,Алматы,https://kingfisher.kz/moreprodukty/krevetki/krevetka-premium-100200-blansh-ochishch-7-glazur/,Нет статуса
"Креветка красная (spot prawns) Канада, размер J 15-19 шт/кг",МОРЕПРОДУКТЫ,,45 990 Т,Алматы,https://kingfisher.kz/moreprodukty/krevetki/krevetka-krasnaya-spot-prawns-kanada-razmer-j-15-19-shtkg/,Нет статуса
"Креветка красная (spot prawns) Канада, размер XJ 10-14 шт/кг",МОРЕПРОДУКТЫ,,46 990 Т,Алматы,https://kingfisher.kz/moreprodukty/krevetki/krevetka-krasnaya-spot-prawns-kanada-razmer-xj-10-14-shtkg/,Нет статуса
Конечности Камчатского Краба 4L,МОРЕПРОДУКТЫ,,38 000 Т,Алматы,https://kingfisher.kz/moreprodukty/kraby/konechnosti-kamchatskogo-kraba-4l/,Нет статуса
"Мясо краба, 1я фаланга уп. 1 кг",МОРЕПРОДУКТЫ,,49 500 Т,Алматы,https://kingfisher.kz/moreprodukty/kraby/myaso-kraba-1ya-falanga-blok-vesom-1-1-5-kg/,Нет статуса
"Конечности Камчатского Краба 3 L, 900-1400 гр",МОРЕПРОДУКТЫ,,Новинка,Алматы,https://kingfisher.kz/moreprodukty/kraby/konechnosti-kamchatskogo-kraba-3-l/,Новинка
Краб Камчатский Роза (плечо),МОРЕПРОДУКТЫ,,Новинка,Алматы,https://kingfisher.kz/moreprodukty/kraby/krab-kamchatskiy-roza-plecho/,Новинка
Мясо краба в/м блок (салатное мясо),МОРЕПРОДУКТЫ,,Новинка,Алматы,https://kingfisher.kz/moreprodukty/kraby/myaso-kraba-salatnoe-kusochkami/,Новинка
Краб камчатский полуфиле большой клешни 1 кг/уп,МОРЕПРОДУКТЫ,,35 000 Т,Алматы,https://kingfisher.kz/moreprodukty/kraby/krab-kamchatskiy-polufile-bolshoy-kleshni-1-kgup/,Нет статуса
Red Crab Краб 1-я фаланга в заливке 220 гр ст/бан,МОРЕПРОДУКТЫ,,19 000 Т,Алматы,https://kingfisher.kz/moreprodukty/kraby/red-crab-krab-1-ya-falanga-v-zalivke-220-gr-stban/,Нет статуса
Red Crab Краб 1-я фаланга в заливке 500 гр ст/бан,МОРЕПРОДУКТЫ,,40 000 Т,Алматы,https://kingfisher.kz/moreprodukty/kraby/red-crab-krab-1-ya-falanga-v-zalivke-500-gr-stban/,Нет статуса
Kani Крабовое мясо 500гр 8 шт,МОРЕПРОДУКТЫ,,2 500 Т,Алматы,https://kingfisher.kz/moreprodukty/kraby/kani-krabovoe-myaso-500gr-8-sht/,Нет статуса
Устрицы Gillardeau (Жилардо) №2,МОРЕПРОДУКТЫ,,Новинка,Алматы,https://kingfisher.kz/moreprodukty/ustricy/ustricy-gillardeau-2/,Новинка
Устрицы Fine de Claire Marine (Марине) # 2,МОРЕПРОДУКТЫ,,1 590 Т,Алматы,https://kingfisher.kz/moreprodukty/ustricy/ustricy-fin-de-claire-2/,Акция
Устрицы Fine de Claire Celine (Селин) # 2,МОРЕПРОДУКТЫ,,Новинка,Алматы,https://kingfisher.kz/moreprodukty/ustricy/ustricy-fine-de-claire-selection-marine-3/,Новинка
Устрицы Ostra Regal #2,МОРЕПРОДУКТЫ,,Новинка,Алматы,https://kingfisher.kz/moreprodukty/ustricy/ustricy-ostra-regal-2/,Новинка
Устрицы Tarbouriech №2,МОРЕПРОДУКТЫ,,Новинка,Алматы,https://kingfisher.kz/moreprodukty/ustricy/ustricy-tarbouriech/,Новинка
Корзина устриц Жилардо/Gillardeau №2 48 шт,МОРЕПРОДУКТЫ,,144 000 Т,Алматы,https://kingfisher.kz/moreprodukty/ustricy/korzina-ustric-zhilardogillardeau-2-48-sht/,Нет статуса
Корзина устриц Жилардо/Gillardeau №2 24шт,МОРЕПРОДУКТЫ,,72 000 Т,Алматы,https://kingfisher.kz/moreprodukty/ustricy/korzina-ustric-zhilardogillardeau-2-24sht/,Нет статуса
Устрицы De Cancale (Канкаль) # 2,МОРЕПРОДУКТЫ,,Новинка,Алматы,https://kingfisher.kz/moreprodukty/ustricy/ustricy-de-cancale-de-kankal/,Новинка
Устрицы Normandie (Норманди) #2,МОРЕПРОДУКТЫ,,Новинка,Алматы,https://kingfisher.kz/moreprodukty/ustricy/ustricy-normandie-normandi-2/,Акция Новинка
Устрицы La Belle №2,МОРЕПРОДУКТЫ,,2 200 Т,Алматы,https://kingfisher.kz/moreprodukty/ustricy/ustricy-la-belle-2/,Нет статуса
Устрицы №2 Царская,МОРЕПРОДУКТЫ,,3 000 Т,Алматы,https://kingfisher.kz/moreprodukty/ustricy/ustricy-2-carskaya/,Нет статуса
Нож устричный KingFisher,МОРЕПРОДУКТЫ,,4 800 Т,Алматы,https://kingfisher.kz/moreprodukty/ustricy/nozh-ustrichniy-kingfisher/,Нет статуса
Устрицы Utah Beach (Ута Бич) №2,МОРЕПРОДУКТЫ,,Новинка,Алматы,https://kingfisher.kz/moreprodukty/ustricy/ustricy-utah-beach-uta-bich-2/,Новинка
Устрицы Josephine (Жозефин) #2,МОРЕПРОДУКТЫ,,3 000 Т,Алматы,https://kingfisher.kz/moreprodukty/ustricy/ustricy-josephine-zhozefin-2/,Нет статуса
Устрицы Krystale (Кристал) №2,МОРЕПРОДУКТЫ,,Новинка,Алматы,https://kingfisher.kz/moreprodukty/ustricy/ustricy-krystale-kristal-2/,Новинка
Устрицы St Vaast (Сэн Васт) # 2,МОРЕПРОДУКТЫ,,Новинка,Алматы,https://kingfisher.kz/moreprodukty/ustricy/ustricy-st-vaast-sen-vast-2/,Новинка
Устрицы Хасаку Муроцу #3,МОРЕПРОДУКТЫ,,2 500 Т,Алматы,https://kingfisher.kz/moreprodukty/ustricy/ustricy-hasaku-murocu-3/,Нет статуса
Устрицы Bretagne (Бретань) # 2,МОРЕПРОДУКТЫ,,Новинка,Алматы,https://kingfisher.kz/moreprodukty/ustricy/ustricy-bretagne-bretan-2/,Акция Новинка
Устрицы Мадока Хиросима #3,МОРЕПРОДУКТЫ,,2 500 Т,Алматы,https://kingfisher.kz/moreprodukty/ustricy/ustricy-madoka-hirosima/,Нет статуса
Устрицы Sentinelle (Сентинель) # 2,МОРЕПРОДУКТЫ,,2 000 Т,Алматы,https://kingfisher.kz/moreprodukty/ustricy/ustricy-sentinelle-sentinel-2/,Нет статуса
Устрицы Онужима Оита #5,МОРЕПРОДУКТЫ,,2 400 Т,Алматы,https://kingfisher.kz/moreprodukty/ustricy/ustricy-onuzhima-oita-5/,Нет статуса
Устрицы Ostra Regal Gold Selection (Остра Регал Золотые) #2,МОРЕПРОДУКТЫ,,3 000 Т,Алматы,https://kingfisher.kz/moreprodukty/ustricy/ustricy-ostra-regal-gold-selection-ostra-regal-zolotye-2/,Нет статуса
"Гребешок 10/20 Премиум, 8% глазурь, 1 кг",МОРЕПРОДУКТЫ,,Новинка,Алматы,https://kingfisher.kz/moreprodukty/grebeshok/grebeshok-1020-glazur-8/,Новинка
Гребешок обработанный Econom +S 10/20 1 кг 8% глазурь,МОРЕПРОДУКТЫ,,16 800 Т,Алматы,https://kingfisher.kz/moreprodukty/grebeshok/grebeshok-obrabotanniy-econom-s-1020-1-kg-8-glazur/,Нет статуса
"Гребешок на половине раковины золотой 45/55, 1 кг",МОРЕПРОДУКТЫ,,8 800 Т,Алматы,https://kingfisher.kz/moreprodukty/grebeshok/grebeshok-na-polovine-rakoviny-zolotoy-4555/,Нет статуса
"Гребешок-медальоны 10/20, 500 гр",МОРЕПРОДУКТЫ,,6 000 Т,Алматы,https://kingfisher.kz/moreprodukty/grebeshok/grebeshok-medalony-1020/,Нет статуса
Мидии в раковине 40-60 закрытые,МОРЕПРОДУКТЫ,,4 900 Т,Алматы,https://kingfisher.kz/moreprodukty/midii/midii-v-rakovine-40-60-zakrytye/,Нет статуса
Мясо Мидий 200/300 очищенное 1 кг/уп,МОРЕПРОДУКТЫ,,4 300 Т,Алматы,https://kingfisher.kz/moreprodukty/midii/myaso-midiy-ochischennoe/,Нет статуса
Мидии 30/40 на полустворке Чили,МОРЕПРОДУКТЫ,,Новинка,Алматы,https://kingfisher.kz/moreprodukty/midii/midii-na-polustvorke-chili/,Новинка
Мясо мидии 100/200 очищенное 1 кг/уп,МОРЕПРОДУКТЫ,,4 800 Т,Алматы,https://kingfisher.kz/moreprodukty/midii/myaso-midii-100200-1-kgup/,Нет статуса
"Осьминог молодой Бэби, 40/60",МОРЕПРОДУКТЫ,,7 000 Т,Алматы,https://kingfisher.kz/moreprodukty/osminogi/osminog-bebi-razmer-40-60/,Нет статуса
Medusa салат из осьминога 200 гр,МОРЕПРОДУКТЫ,,5 900 Т,Алматы,https://kingfisher.kz/ryba/konservy/delikatesy/salat-iz-osminoga-pulpo/,Нет статуса
Каракатица с/м размер 40-60,МОРЕПРОДУКТЫ,,8 500 Т,Алматы,https://kingfisher.kz/moreprodukty/osminogi/karakatica-razmer-40-60/,Нет статуса
Осьминог 2/3 с/м Индонезия,МОРЕПРОДУКТЫ,,15 800 Т,Алматы,https://kingfisher.kz/moreprodukty/osminogi/osminog-23-sm-indoneziya/,Нет статуса
Medusa Салат из осьминога 1000 гр,МОРЕПРОДУКТЫ,,Новинка,Алматы,https://kingfisher.kz/ryba/konservy/delikatesy/salat-iz-osminoga-pulpo-horeca/,Новинка
Осьминог 3+ с/м Индонезия,МОРЕПРОДУКТЫ,,16 900 Т,Алматы,https://kingfisher.kz/moreprodukty/osminogi/osminog-3-sm-indoneziya/,Нет статуса
Осьминог очищенный 2-3 кг Марокко,МОРЕПРОДУКТЫ,,15 800 Т,Алматы,https://kingfisher.kz/moreprodukty/osminogi/osminog-ochischenniy-2-3-kg-marokko/,Нет статуса
Осьминог с/м 4+ Марокко,МОРЕПРОДУКТЫ,,19 800 Т,Алматы,https://kingfisher.kz/moreprodukty/osminogi/osminog-sm-4-marokko/,Нет статуса
Осьминог 3/5 с/м Индонезия,МОРЕПРОДУКТЫ,,15 800 Т,Алматы,https://kingfisher.kz/moreprodukty/osminogi/osminog-35-sm-indoneziya/,Нет статуса
Лобстер (Омар) размер 1000+ гр.,МОРЕПРОДУКТЫ,,Новинка,Алматы,https://kingfisher.kz/moreprodukty/lobstery/lobster-omar-razmer-1000-gr/,Новинка
"Хвост Омара 4+, замороженный",МОРЕПРОДУКТЫ,,40 000 Т,Алматы,https://kingfisher.kz/moreprodukty/lobstery/hvost-omara-4-zamorozhenniy/,Нет статуса
Клешни Лобстера (Омара) замороженные,МОРЕПРОДУКТЫ,,Новинка,Алматы,https://kingfisher.kz/moreprodukty/lobstery/kleshni-lobstera-omara-zamorozhennye/,Новинка
Омар (лобстер) живой 800-1000 гр,МОРЕПРОДУКТЫ,,Новинка,Алматы,https://kingfisher.kz/moreprodukty/lobstery/omar-zhivoy-8001000/,Новинка
Хвост омара с/м 100-150 гр,МОРЕПРОДУКТЫ,,Новинка,Алматы,https://kingfisher.kz/moreprodukty/lobstery/hvost-omara-sm-100150-gr/,Новинка
Хвост омара с/м 150-200 гр,МОРЕПРОДУКТЫ,,40 000 Т,Алматы,https://kingfisher.kz/moreprodukty/lobstery/hvost-omara-sm-150-200-gr/,Нет статуса
Омар с/м 1000/1500 гр,МОРЕПРОДУКТЫ,,36 000 Т,Алматы,https://kingfisher.kz/moreprodukty/lobstery/omar-sm-10001500-gr/,Нет статуса
Щупальца Кальмара свежемороженные 1 кг/уп,МОРЕПРОДУКТЫ,,5 800 Т,Алматы,https://kingfisher.kz/moreprodukty/kalmary/tushka-kalmara/,Нет статуса
Кальмар трубка U10 1 кг/уп,МОРЕПРОДУКТЫ,,4 600 Т,Алматы,https://kingfisher.kz/moreprodukty/kalmary/kalmar-trubka-u10-1-kgup/,Нет статуса
"Кольца Кальмара, уп. 1 кг",МОРЕПРОДУКТЫ,,Новинка,Алматы,https://kingfisher.kz/moreprodukty/kalmary/kolca-kalmara-up-1-kg/,Новинка
Кальмар Командорский очищенный 1 кг,МОРЕПРОДУКТЫ,,Новинка,Алматы,https://kingfisher.kz/moreprodukty/kalmary/kalmar-komandorskiy-ochischenniy/,Новинка
"Кальмар Патагонский лолиго, целый 8-11 см 1 кг/уп",МОРЕПРОДУКТЫ,,7 000 Т,Алматы,https://kingfisher.kz/moreprodukty/kalmary/kalmar-patagonskiy-loligo-celiy-8-11-sm-1-kgup/,Нет статуса
Кальмар гигантский щупальца 1 кг/уп,МОРЕПРОДУКТЫ,,4 800 Т,Алматы,https://kingfisher.kz/moreprodukty/kalmary/kalmar-gigantskiy-schupalca-1-kgup/,Нет статуса
Морской Коктейль Стандарт 1 кг,МОРЕПРОДУКТЫ,,4 000 Т,Алматы,https://kingfisher.kz/moreprodukty/morskoy-kokteyl/morskoy-kokteyl-standart-1-kg/,Нет статуса
Морской коктейль 500 гр,МОРЕПРОДУКТЫ,,2 000 Т,Алматы,https://kingfisher.kz/moreprodukty/morskoy-kokteyl/morskoy-kokteyl-500-gr/,Нет статуса
Морской коктейль Premium 1 кг,МОРЕПРОДУКТЫ,,7 000 Т,Алматы,https://kingfisher.kz/moreprodukty/morskoy-kokteyl/morskoy-kokteyl-premium/,Нет статуса
Вонголе варено мороженые уп. 500 гр,МОРЕПРОДУКТЫ,,3 900 Т,Алматы,https://kingfisher.kz/moreprodukty/vongole/vongole-svezhemorozhennye-up-500-gr/,Нет статуса
Улитки по Бургундски в тарелке 12 шт/ вес 89 гр Франция,МОРЕПРОДУКТЫ,,5 800 Т,Алматы,https://kingfisher.kz/moreprodukty/ulitki-burgundskie/ulitka-burgundskaya-v-metallicheskom-poddone/,Нет статуса
Улитки по Эльзасски (крупные) 48 шт/уп 499 гр Франция,МОРЕПРОДУКТЫ,,16 200 Т,Алматы,https://kingfisher.kz/moreprodukty/ulitki-burgundskie/ulitki-po-elzasski-krupnye-48-shtup-499-gr-franciya/,Нет статуса
Улитки по Эльзасски в тарелке 12 шт/вес 125 гр Франция,МОРЕПРОДУКТЫ,,5 800 Т,Алматы,https://kingfisher.kz/moreprodukty/ulitki-burgundskie/ulitki-po-elzasski-v-metallicheskom-poddone-125-gr/,Нет статуса
"Керамическая Сковорода ""Улиточница Эскарготьерка""",МОРЕПРОДУКТЫ,,Новинка,Алматы,https://kingfisher.kz/moreprodukty/ulitki-burgundskie/keramicheskaya-skovoroda-ulitochnica-eskargoterka/,Новинка
"Семга Атлантическая (Лосось) Охлажденная, 3-4 кг, Норвегия",РЫБА,,11 800 Т,Алматы,https://kingfisher.kz/ryba/ohlazhdennaya-ryba/semga-atlanticheskaya-ohlazhdennaya-ves-3-4-kg-norvegiya/,Нет статуса
Дорадо Охлажденная вес 300-400 гр/шт Турция,РЫБА,,7 590 Т,Алматы,https://kingfisher.kz/ryba/ohlazhdennaya-ryba/dorado-ohlazhdennaya-ves-300-400-grsht-turciya/,Нет статуса
Сибас Охлажденный весом 300 - 400 гр/шт,РЫБА,,7 590 Т,Алматы,https://kingfisher.kz/ryba/ohlazhdennaya-ryba/sibas-ohlazhdenniy-vesom-300-400-grsht/,Нет статуса
Дорадо Охлажденная вес 400 - 600 гр./шт,РЫБА,,Новинка,Алматы,https://kingfisher.kz/ryba/ohlazhdennaya-ryba/dorado-ohlazhdennaya-400-600-grsht/,Новинка
Сибас Охлажденный 400 - 600 гр/шт,РЫБА,,7 590 Т,Алматы,https://kingfisher.kz/ryba/ohlazhdennaya-ryba/sibas-ohlazhdenniy-400-600-gr/,Нет статуса
"Семга Атлантическая охлажденная, 5-6 кг, Норвегия",РЫБА,,12 800 Т,Алматы,https://kingfisher.kz/ryba/ohlazhdennaya-ryba/semga-atlanticheskaya-ohlazhdennaya-6-7-kg-norvegiya/,Нет статуса
Сибас охлажденный весом от 1000 до 1500 гр Турция,РЫБА,,12 990 Т,Алматы,https://kingfisher.kz/ryba/ohlazhdennaya-ryba/sibas-ohlazhdenniy-vesom-ot-1000-do-1500-gr-greciya/,Нет статуса
"Филе из Охлажденной Океанической Форели 1,5 кг",РЫБА,,Новинка,Алматы,https://kingfisher.kz/ryba/file-iz-ryby/file-iz-ohlazhdennoy-okeanicheskoy-foreli-1-5-2-kg/,Новинка
"Сибас Охлажденный 600 - 800 гр., Турция",РЫБА,,Новинка,Алматы,https://kingfisher.kz/ryba/ohlazhdennaya-ryba/sibas-ohlazhdenniy-600-800-gr-greciya/,Новинка
"Дорадо Охлажденная вес 600-800 гр., Турция",РЫБА,,9 400 Т,Алматы,https://kingfisher.kz/ryba/ohlazhdennaya-ryba/-dorado-ohlazhdennaya-ves-600-800-gr-greciya/,Нет статуса
Дорадо Охлажденная вес 1000-1500 гр/шт Турция,РЫБА,,12 990 Т,Алматы,https://kingfisher.kz/ryba/ohlazhdennaya-ryba/-dorado-ohlazhdennaya-ves-1000-1500-gr-sht/,Нет статуса
Снеппер Красный (Red Snapper),РЫБА,,14 800 Т,Алматы,https://kingfisher.kz/ryba/rifovaya-ryba/snepper-krasniy-red-snapper/,Нет статуса
Барабулька охл 150/450 Red Mullet (Султанка),РЫБА,,Новинка,Алматы,https://kingfisher.kz/ryba/rifovaya-ryba/barabulka-red-mullet-sultanka/,Новинка
"Сибас Охлажденный 800 - 1000 гр., Турция",РЫБА,,12 990 Т,Алматы,https://kingfisher.kz/ryba/ohlazhdennaya-ryba/sibas-ohlazhdenniy-800-1000-gr-greciya/,Нет статуса
Семга охлажденная с/г 5/6 Чили,РЫБА,,11 590 Т,Алматы,https://kingfisher.kz/ryba/ohlazhdennaya-ryba/semga-ohlazhdennaya-sg-56-chili/,Нет статуса
"Барамунди (белый морской окунь) вес 0,5 - 2 кг/шт",РЫБА,,14 800 Т,Алматы,https://kingfisher.kz/ryba/rifovaya-ryba/baramundi-barramundi-ves-0-5-2-kg-sht/,Нет статуса
"Групер Каменный 0,5 - 2 кг/шт",РЫБА,,14 800 Т,Алматы,https://kingfisher.kz/ryba/rifovaya-ryba/grupper-kamenniy-spotted-grouper-0-5-2-kg-sht/,Нет статуса
Стейк из Семги нарезка Подкова,РЫБА,,Новинка,Алматы,https://kingfisher.kz/ryba/zamorozhennaya-ryba/steyk-iz-semgi-narezka-podkova/,Новинка
Семга Атлантическая 5-6 кг замороженная,РЫБА,,6 490 Т,Алматы,https://kingfisher.kz/ryba/zamorozhennaya-ryba/semga-atlanticheskaya-5-6-kg-zamorozhennaya/,Акция
Филе Судака средний уп. 1 кг,РЫБА,,6 300 Т,Алматы,https://kingfisher.kz/ryba/file-iz-ryby/file-sudaka-up-1-kg/,Нет статуса
Семга Замороженная размер 3-4 кг,РЫБА,,6 490 Т,Алматы,https://kingfisher.kz/ryba/zamorozhennaya-ryba/semga-zamorozhennaya-razmer-5-6-kg/,Акция
Морской Окунь размер 300-500 гр,РЫБА,,4 600 Т,Алматы,https://kingfisher.kz/ryba/zamorozhennaya-ryba/morskoy-okun-razmer-500-700-gr/,Нет статуса
"Кета (Дикий лосось) стейк-подкова свежемороженый, размер 1-2 кг",РЫБА,,5 800 Т,Алматы,https://kingfisher.kz/ryba/zamorozhennaya-ryba/keta-dikiy-losos/,Нет статуса
Скумбрия с/м (макрель атлантическая) 300-600 гр,РЫБА,,3 800 Т,Алматы,https://kingfisher.kz/ryba/zamorozhennaya-ryba/skumbriya-makrel-atlanticheskaya-400-600/,Нет статуса
Семга Замороженная размер 4/5 кг,РЫБА,,6 490 Т,Алматы,https://kingfisher.kz/ryba/zamorozhennaya-ryba/semga-zamorozhennaya-razmer-45-kg/,Акция
Сибас замороженный 300-400 гр.,РЫБА,,5 000 Т,Алматы,https://kingfisher.kz/ryba/zamorozhennaya-ryba/sibas-zamorozhenniy-400-600-gr/,Нет статуса
Дорадо Замороженная 400-600 гр/шт,РЫБА,,5 190 Т,Алматы,https://kingfisher.kz/ryba/zamorozhennaya-ryba/dorado-zamorozhennaya-vesom-400-600-grsht/,Нет статуса
Тунец Еллоуфин Yellowfin филе уп. 350-550 гр.,РЫБА,,15 800 Т,Алматы,https://kingfisher.kz/ryba/zamorozhennaya-ryba/tunec-yellowfin-file-up-300-500-gr/,Нет статуса
Филе хека размер 60 - 200 грамм,РЫБА,,Новинка,Алматы,https://kingfisher.kz/ryba/zamorozhennaya-ryba/file-heka/,Новинка
Тилапия замороженная филе 1 кг/уп,РЫБА,,6 500 Т,Алматы,https://kingfisher.kz/ryba/file-iz-ryby/tilapiya-zamorozhennaya-file/,Нет статуса
"Палтус синекорый, ПБГ 2-4 кг Россия",РЫБА,,14 800 Т,Алматы,https://kingfisher.kz/ryba/zamorozhennaya-ryba/paltus-sinekoriy-pbg-2-4-kg-rossiya/,Нет статуса
"Угорь Копченый Унаги, филе для суши",РЫБА,,15 900 Т,Алматы,https://kingfisher.kz/ryba/zamorozhennaya-ryba/ugor-kopcheniy-unagi-dlya-sushi/,Нет статуса
Стейк из палтуса 1+ кг,РЫБА,,Новинка,Алматы,https://kingfisher.kz/ryba/zamorozhennaya-ryba/steyk-iz-paltusa/,Новинка
Треска филе без шкуры 450/900 гр,РЫБА,,6 200 Т,Алматы,https://kingfisher.kz/ryba/zamorozhennaya-ryba/treska-file-bez-shkury/,Нет статуса
"Минтай свежемороженый без головы, 1 кг/уп",РЫБА,,2 100 Т,Алматы,https://kingfisher.kz/ryba/zamorozhennaya-ryba/mintay-sm-bg-1-2-kg/,Нет статуса
Дорадо Замороженная 300-400 гр/шт,РЫБА,,Новинка,Алматы,https://kingfisher.kz/ryba/zamorozhennaya-ryba/dorada-zamorozhennaya-300-400-grsht/,Новинка
"Треска черная б/г 7/10 lb (3-4.5 кг), вылов Канада",РЫБА,,43 000 Т,Алматы,https://kingfisher.kz/ryba/zamorozhennaya-ryba/chernaya-treska-vylov-kanada/,Нет статуса
Кета без головы 2-3 кг,РЫБА,,5 800 Т,Алматы,https://kingfisher.kz/ryba/zamorozhennaya-ryba/keta-sm-sg-po-20-kgkor/,Нет статуса
"Морской язык 5%, филе, вес ±1.8 кг/уп",РЫБА,,3 700 Т,Алматы,https://kingfisher.kz/ryba/zamorozhennaya-ryba/morskoy-yazyk-5/,Нет статуса
Форель радужная с/м 200-300 гр,РЫБА,,5 500 Т,Алматы,https://kingfisher.kz/ryba/zamorozhennaya-ryba/forel-raduzhnaya-sm/,Нет статуса
Сибас замороженный 400-600 гр.,РЫБА,,4 800 Т,Алматы,https://kingfisher.kz/ryba/zamorozhennaya-ryba/sibas-zamorozhenniy-400-600gr/,Нет статуса
Камбала замороженная вес 1+ кг,РЫБА,,Новинка,Алматы,https://kingfisher.kz/ryba/zamorozhennaya-ryba/kambala-zamorozhennaya-ves-1-5-kg/,Новинка
"Стейки из Осетра, уп. 800 грамм",РЫБА,,Новинка,Алматы,https://kingfisher.kz/ryba/zamorozhennaya-ryba/steyki-iz-osetra/,Новинка
"Тунец Еллоуфин 50-100 гр, упаковка ±1кг",РЫБА,,8 500 Т,Алматы,https://kingfisher.kz/ryba/zamorozhennaya-ryba/tunec-elloufin-50-100-gr/,Нет статуса
Треска филе на шкуре 1-1.3 кг,РЫБА,,6 200 Т,Алматы,https://kingfisher.kz/ryba/file-iz-ryby/treska-file-na-shkure-1-2-kg/,Нет статуса
Gastronomica Рыбные котлеты 600 гр/уп,РЫБА,,3 800 Т,Алматы,https://kingfisher.kz/ryba/zamorozhennaya-ryba/rybnye-burgery-v-panirovke/,Нет статуса
Сибас Замороженный 800 - 1000,РЫБА,,5 000 Т,Алматы,https://kingfisher.kz/ryba/zamorozhennaya-ryba/sibas-zamorozhenniy-1-krupniy/,Нет статуса
Тунец Yellowfin филе уп. 500-800 гр,РЫБА,,16 500 Т,Алматы,https://kingfisher.kz/ryba/zamorozhennaya-ryba/tunec-yellowfin-file-up-500-800-gr/,Нет статуса
